species,study_block,count,mean,std,min,max
Hermetia,main,33,28.921832833864556,3.1144073635068095,22.677020960046544,33.161725303735146
Tenebrio,coffee_orujillo,14,37.644214285714284,6.493372730106282,32.238,53.591
Tenebrio,main,33,45.01744110303601,2.521739804033061,39.46090226095632,49.74165607410812
Tenebrio,water_control,9,39.16488888888889,2.5777971431264946,36.031,42.528
