n,mae_micro,rmse_micro,r2_micro,bias_true_minus_pred,y_true_mean,y_pred_mean,y_true_min,y_true_max,nmae_by_range,coverage95_micro,mean_pred_std,subset,grouping,feature_mode,include_species_feature,model,n_folds,mae_macro_lodo,mae_macro_lodo_std
66,8.047804134585729,8.581573969274908,-0.015026516095763665,2.6376207615337053e-15,36.96963696845028,36.969636968450274,22.677020960046544,49.74165607410812,0.29735498375163566,,,main_only,diet_name,REDUCED,False,Dummy_GlobalMean,11,8.047804134585729,1.187197496012086
66,2.5758951915927937,3.0285710094588243,0.8735790618540007,4.844609562000683e-16,36.96963696845028,36.96963696845029,22.677020960046544,49.74165607410812,0.09517568519719201,,,main_only,diet_name,REDUCED,False,Dummy_SpeciesMean,11,2.5758951915927937,0.7542549738763293
66,4.554071248039122,5.476870542290253,0.5865638589969591,-0.002080007987827996,36.96963696845028,36.9717169764381,22.677020960046544,49.74165607410812,0.168266493482967,0.7424242424242424,4.046079790424492,main_only,diet_name,REDUCED,False,GP_Compuesto_NoARD,11,4.554071248039123,1.9937931560517184
66,8.047804134585729,8.581573969274908,-0.015026516095763665,2.6376207615337053e-15,36.96963696845028,36.969636968450274,22.677020960046544,49.74165607410812,0.29735498375163566,,,main_only,diet_name,REDUCED,True,Dummy_GlobalMean,11,8.047804134585729,1.187197496012086
66,2.5758951915927937,3.0285710094588243,0.8735790618540007,4.844609562000683e-16,36.96963696845028,36.96963696845029,22.677020960046544,49.74165607410812,0.09517568519719201,,,main_only,diet_name,REDUCED,True,Dummy_SpeciesMean,11,2.5758951915927937,0.7542549738763293
66,1.9963325883142133,2.522380100061488,0.9123070762368871,-0.09209841743817422,36.96963696845028,37.06173538588847,22.677020960046544,49.74165607410812,0.07376166646625167,0.9545454545454546,3.1444142422736725,main_only,diet_name,REDUCED,True,GP_Compuesto_NoARD,11,1.9963325883142127,0.806452124283311
66,8.047804134585729,8.581573969274908,-0.015026516095763665,2.6376207615337053e-15,36.96963696845028,36.969636968450274,22.677020960046544,49.74165607410812,0.29735498375163566,,,main_only,diet_name,FULL,False,Dummy_GlobalMean,11,8.047804134585729,1.187197496012086
66,2.5758951915927937,3.0285710094588243,0.8735790618540007,4.844609562000683e-16,36.96963696845028,36.96963696845029,22.677020960046544,49.74165607410812,0.09517568519719201,,,main_only,diet_name,FULL,False,Dummy_SpeciesMean,11,2.5758951915927937,0.7542549738763293
66,3.760174986827099,4.4785390214779275,0.7235502431226271,0.0183895750768304,36.96963696845028,36.95124739337345,22.677020960046544,49.74165607410812,0.1389331491438981,0.8333333333333334,3.3023138325471897,main_only,diet_name,FULL,False,GP_Compuesto_NoARD,11,3.760174986827099,1.5318039437764397
66,8.047804134585729,8.581573969274908,-0.015026516095763665,2.6376207615337053e-15,36.96963696845028,36.969636968450274,22.677020960046544,49.74165607410812,0.29735498375163566,,,main_only,diet_name,FULL,True,Dummy_GlobalMean,11,8.047804134585729,1.187197496012086
