diet_name,byproduct_type,inclusion_pct,n,fcr_mean,fcr_std,tpc_mean,tpc_std,quitina_mean,quitina_std,proteina_mean,proteina_std,score_fcr,score_tpc,score_quitina,score_proteina,exploratory_equal_weight_score
Hoja15,hoja,15,3,1.6078283541870837,0.2911686629960656,0.3583762770254217,0.0,9.298099229974042,1.7406680970720623,31.41711767126824,1.3029537635292077,0.916580863896717,0.22311809322479986,0.4719884952331136,0.9167957306002187,0.6321207957387123
Control,control,0,3,1.6162818993734984,0.14875294570443642,0.4328427829116179,0.0,3.9165836284826328,0.6804521358517581,31.936172635242002,0.3907196441167373,0.9056667580243958,0.46908812519011506,0.0,0.9759345120320577,0.5876723488116422
Orujo70,orujo,70,3,1.907479442750956,0.034917963987091495,0.393267640769779,0.0,15.31837764643533,1.4158137746843444,27.401729487019566,0.6656123205347956,0.5297107835666164,0.33836762391486397,1.0,0.4593005120316601,0.5818447298782851
Orujo50,orujo,50,3,1.7332389395994479,0.38833102295429395,0.3163595272036113,0.0,9.263182419668823,0.26501153513069536,32.14739293244424,0.9570343653066038,0.7546672079668989,0.08433272692140904,0.4689260990654367,1.0,0.5769815084884362
Quinoa30,quinoa,30,3,1.5432158751887648,0.012914427470970534,0.3398305366666667,0.0,7.173716554114538,0.9646747439274712,29.984110876218477,0.7673909690614148,1.0,0.16185972888265066,0.2856684588849251,0.7535253998552995,0.5502633969057189
Orujo90,orujo,90,3,2.2704331505578503,0.16420804974051842,0.5935743644571156,0.0,11.022775692415747,3.3004384461711394,26.546877432646642,2.4873266852189633,0.06111268579788219,1.0,0.6232520998663945,0.3619025247104668,0.5115668275936859
Orujo30,orujo,30,3,1.8552545673297782,0.45552970078366967,0.3511433357091945,0.0,8.908302799451452,0.7133110581759536,30.321931427470414,1.4553102232616741,0.5971366749466636,0.1992269923119337,0.43780120594260047,0.7920151497475318,0.5065450057371823
Hoja30,hoja,30,3,1.7568198640407175,0.10697809687633343,0.4427047695414587,0.0,9.74464630148317,1.2039614974671091,24.417325160791616,0.8982613933498248,0.7242226193068865,0.5016632156648935,0.5111531276414888,0.11927094406099074,0.46407747666856486
Quinoa50,quinoa,50,3,2.028251161351505,0.17666571512900578,0.38403531333333324,0.0,8.463661756696707,0.5386602927572294,29.829990639539393,1.3927037517726322,0.37378622243611526,0.30787235832354837,0.3988037427315799,0.735965635237292,0.4541069896821338
Quinoa15,quinoa,15,3,1.7796223594098561,0.10118586400625242,0.29082811,0.0,6.8634024836162695,0.5219343147738443,30.767016480982818,1.315511046782882,0.6947830358985152,0.0,0.25845220940614455,0.8427261332178276,0.4489903446306218
Hoja50,hoja,50,3,2.3177681184332983,0.4725004076785421,0.3117897362794012,0.0,11.421126225950488,1.644351776226206,23.3704964288867,0.6865356800150682,0.0,0.0692382679250305,0.6581896310046976,0.0,0.18185697473243204
