feature_mode,target,target_col,model,n_folds,n_samples,mae_macro_mean,mae_macro_std,rmse_macro_mean,rmse_macro_std,r2_macro_mean,r2_macro_std,nlpd_macro_mean,nlpd_macro_std,coverage_95_macro_mean,coverage_95_macro_std
REDUCED_FEATURES,FCR,FCR,Dummy,11,31,0.29077656801983903,0.14893284373110122,0.3169790551342296,0.1666981772594003,-86.66528246705269,267.44299373784327,,,,
REDUCED_FEATURES,FCR,FCR,GP_Linear,11,31,0.2702271382377993,0.11019756120236275,0.3096596579632091,0.1316160793384112,-107.11797166073366,337.66302961321594,0.7873251528231834,1.1178833418270937,0.7727272727272727,0.35176323534072423
REDUCED_FEATURES,FCR,FCR,GP_RBF_NoARD,11,31,0.2499353468132739,0.1349577865882045,0.2818942655103099,0.15509277865838486,-77.30953106235864,248.59251576898998,2.9579003096416,4.0251765201570295,0.5454545454545454,0.39504506839170395
REDUCED_FEATURES,FCR,FCR,GP_Matern32_NoARD,11,31,0.2527738278565729,0.13833877588379934,0.28497306207805784,0.1573017390371811,-80.75264382280987,260.03198056873913,2.726091545770593,3.89780591749758,0.5454545454545454,0.39504506839170395
REDUCED_FEATURES,FCR,FCR,GP_Matern52_NoARD,11,31,0.25148885917932146,0.13688578892705483,0.28350313133846167,0.15647976143626624,-78.82432751272488,253.64959423130173,2.905141865744018,4.0387472272687175,0.5454545454545454,0.39504506839170395
REDUCED_FEATURES,FCR,FCR,GP_Compuesto_NoARD,11,31,0.24813247656865609,0.13057426484888912,0.2808624022544852,0.1504815719647442,-84.98560410681706,273.5401623732398,3.8970419052805254,5.392565459075853,0.5757575757575757,0.3279874350882326
REDUCED_FEATURES,FCR,FCR,GP_RBF_ARD,11,31,0.24666348890673248,0.12687882751613883,0.2812810945742148,0.14737634627209284,-74.57667669112601,241.1213472921191,5.900079873811763,11.153445382479886,0.5303030303030303,0.40012624270473707
REDUCED_FEATURES,TPC,TPC_larva_media,Dummy,11,33,0.07602881821296352,0.059793250250867076,0.07602881821296352,0.059793250250867076,-2.528457718142388e+28,8.385945549356491e+28,,,,
REDUCED_FEATURES,TPC,TPC_larva_media,GP_Linear,11,33,0.11126087341818319,0.08280578411206616,0.11126087341818319,0.08280578411206616,-8.230506725792086e+28,2.7297502643948887e+29,1.8891658667777629,5.2393410249307335,0.5454545454545454,0.5222329678670935
REDUCED_FEATURES,TPC,TPC_larva_media,GP_RBF_NoARD,11,33,0.07492997379561316,0.062307568122971814,0.07492997379561316,0.0623075681229718,-1.4036422970242867e+28,4.655354839102147e+28,-0.21834927452167696,3.220956855347829,0.8181818181818182,0.40451991747794525
REDUCED_FEATURES,TPC,TPC_larva_media,GP_Matern32_NoARD,11,33,0.07254601931473066,0.061869382293602386,0.07254601931473066,0.061869382293602386,-1.466233619658599e+28,4.862946771412241e+28,-0.2879568907470736,3.2247458546837184,0.9090909090909091,0.30151134457776363
REDUCED_FEATURES,TPC,TPC_larva_media,GP_Matern52_NoARD,11,33,0.07333059062051174,0.062023249260175654,0.07333059062051174,0.062023249260175654,-1.4463245703260812e+28,4.796915924843603e+28,-0.26811059961833805,3.2230276924866574,0.9090909090909091,0.30151134457776363
REDUCED_FEATURES,TPC,TPC_larva_media,GP_Compuesto_NoARD,11,33,0.08923440737321711,0.06910699541576215,0.08923440737321711,0.06910699541576215,-1.637608960508396e+28,5.431334475330283e+28,0.47838257256444866,4.639475182713613,0.8181818181818182,0.40451991747794525
REDUCED_FEATURES,TPC,TPC_larva_media,GP_Matern32_ARD,11,33,0.08541247970161646,0.07103332776960064,0.08541247970161646,0.07103332776960064,-8.443169089321439e+28,2.8002823910805908e+29,84.89500769431181,225.04323441229403,0.45454545454545453,0.5222329678670934
REDUCED_FEATURES,Quitina,QUITINA (%),Dummy,11,33,2.2927375204010363,1.942537363398528,2.499819604575578,1.9760855603477054,-15.237192341329331,26.70152365399144,,,,
REDUCED_FEATURES,Quitina,QUITINA (%),GP_Linear,11,33,2.0841366396233023,1.8893722152979597,2.258986034213747,1.9794516883429711,-10.67430008481616,16.442222665352,2.7144180230229416,1.9150493916928315,0.8484848484848485,0.3452418271182089
REDUCED_FEATURES,Quitina,QUITINA (%),GP_RBF_NoARD,11,33,1.9646051524764934,1.5945526862628303,2.0655640429057804,1.5944174983168653,-17.48572586262532,35.057033627226616,3.5280062959557315,4.799787259120785,0.7272727272727273,0.4168181542799854
REDUCED_FEATURES,Quitina,QUITINA (%),GP_Matern32_NoARD,11,33,1.9935131886106825,1.6332888242423373,2.0905648030388537,1.6253570385725427,-18.14219359882267,35.27251706129541,2.522426452845374,1.679053621565457,0.8484848484848484,0.34524182711820883
REDUCED_FEATURES,Quitina,QUITINA (%),GP_Matern52_NoARD,11,33,1.9927935273181108,1.627610023864262,2.092987098582075,1.6210843988795065,-18.494955710614672,36.48572927733697,2.555942990519281,1.7858982472087797,0.8181818181818182,0.34524182711820883
REDUCED_FEATURES,Quitina,QUITINA (%),GP_Compuesto_NoARD,11,33,1.939241586970596,1.6823960144296535,2.084006482752259,1.7893099092995481,-10.68590232730463,18.39865089967687,2.954585768450863,2.5548717914361023,0.6969696969696969,0.4070092943122622
REDUCED_FEATURES,Quitina,QUITINA (%),GP_RBF_ARD,11,33,2.579808782568301,1.6514705135786911,2.713658650217721,1.6372911091209175,-35.39186358481741,80.76818344866395,3.9672863889511643,3.6012869029641212,0.7272727272727273,0.4168181542799854
REDUCED_FEATURES,Proteina,PROTEINA (%),Dummy,11,33,3.0836443066377295,1.8268317644182432,3.217431804553174,1.8155119266723894,-34.270012620217024,49.72746595307042,,,,
REDUCED_FEATURES,Proteina,PROTEINA (%),GP_Linear,11,33,2.4263697769766868,1.5572868987709854,2.5065182382488276,1.5676470108859355,-14.318442669798863,20.576515782513734,2.845182288013399,1.1454603674590227,0.7272727272727273,0.3892494720807615
REDUCED_FEATURES,Proteina,PROTEINA (%),GP_RBF_NoARD,11,33,2.463137703773004,1.6356374084198362,2.690864772411587,1.5372291993982805,-20.615470639384714,29.254510907032625,2.839214458341051,1.3308593207458634,0.7878787878787878,0.3423035453683137
REDUCED_FEATURES,Proteina,PROTEINA (%),GP_Matern32_NoARD,11,33,2.416199119971031,1.6680173692970286,2.619408050753637,1.5984813472126804,-19.92259918310613,30.757596264570644,2.7596987360057974,1.161809506041239,0.7575757575757575,0.33634998607300864
