feature_mode,target,target_col,model,n_folds,n_samples,mae_macro_mean,mae_macro_std,rmse_macro_mean,rmse_macro_std,r2_macro_mean,r2_macro_std,nlpd_macro_mean,nlpd_macro_std,coverage_95_macro_mean,coverage_95_macro_std,model_label
FULL_FEATURES,FCR,FCR,Dummy,11,31,0.290776568019839,0.1489328437311012,0.3169790551342296,0.1666981772594003,-86.66528246705269,267.44299373784327,,,,,Dummy
FULL_FEATURES,FCR,FCR,GP_Compuesto_NoARD,11,31,0.2447411421748837,0.1272681809203444,0.2781876481407464,0.1481996985955364,-74.123425466171,238.26452921371256,3.868994744228304,4.651693781461765,0.4545454545454545,0.3340900501603746,Compuesto
FULL_FEATURES,FCR,FCR,GP_Linear,11,31,0.3130341875468075,0.1404765111397799,0.3543531087222797,0.1606912901940927,-132.75317876485474,415.7529362547859,0.725476119389144,0.8066565600139164,0.7727272727272727,0.3517632353407242,Lineal
FULL_FEATURES,FCR,FCR,GP_Matern32_NoARD,11,31,0.2606746790869005,0.1487078436438197,0.2927668758068259,0.1650304352161977,-75.97343768179667,242.3073403782535,2.100036365853536,3.109995105596178,0.6212121212121212,0.4088663805838249,Matern 3/2
FULL_FEATURES,FCR,FCR,GP_Matern52_NoARD,11,31,0.2520547526605916,0.1279315442366346,0.2841050656747667,0.1488353682980446,-74.3633325678446,237.22225629733524,2.3621911967295173,3.1705840704548884,0.6212121212121212,0.4088663805838249,Matern 5/2
FULL_FEATURES,FCR,FCR,GP_RBF_NoARD,11,31,0.2481902394557439,0.13338923046452,0.2805321484334236,0.1541948595091523,-72.43874876161934,232.96803607366516,2.537088011328614,3.260806289871211,0.5757575757575757,0.3898976814757969,RBF
FULL_FEATURES,Quitina,QUITINA (%),Dummy,11,33,2.2927375204010363,1.942537363398528,2.499819604575578,1.9760855603477052,-15.237192341329331,26.70152365399144,,,,,Dummy
FULL_FEATURES,Quitina,QUITINA (%),GP_Compuesto_NoARD,11,33,1.9404555945918909,1.6795613623398105,2.079989656654349,1.7944719399662576,-11.5336812151681,20.124330664859503,2.987939169035173,2.464570366701556,0.6969696969696969,0.4070092943122622,Compuesto
FULL_FEATURES,Quitina,QUITINA (%),GP_Linear,11,33,2.249991525170591,2.0177152319751728,2.387772036090356,2.1172154585642304,-15.927455837665937,28.65969614378079,3.21804121244122,3.088617058092394,0.8484848484848485,0.3452418271182089,Lineal
FULL_FEATURES,Quitina,QUITINA (%),GP_Matern32_NoARD,11,33,2.034371514985092,1.6985731259992665,2.1385235982517137,1.6924569082192478,-19.97718661754509,40.03672663157536,3.374591561240305,4.162183482401147,0.8181818181818182,0.4045199174779452,Matern 3/2
FULL_FEATURES,Quitina,QUITINA (%),GP_Matern52_NoARD,11,33,2.019079895299418,1.6677278586929818,2.125025656409786,1.664666488859765,-19.830165571900142,40.58276832440721,3.53368407996513,4.600192748999611,0.7575757575757575,0.3969581307590986,Matern 5/2
FULL_FEATURES,Quitina,QUITINA (%),GP_RBF_NoARD,11,33,2.127063164490833,1.871704085175272,2.2313592574147334,1.8677845060780256,-23.39149827810333,46.31791656421139,3.588406018959779,4.940741065613325,0.7878787878787878,0.3423035453683137,RBF
FULL_FEATURES,Proteina,PROTEINA (%),Dummy,11,33,3.083644306637729,1.8268317644182432,3.217431804553174,1.8155119266723891,-34.270012620217024,49.72746595307042,,,,,Dummy
FULL_FEATURES,Proteina,PROTEINA (%),GP_Compuesto_NoARD,11,33,1.95434617325352,1.2046489657623505,2.087518662047984,1.195198172203588,-8.101082361548858,9.446723290865965,3.7979981900709694,3.694336655368476,0.6969696969696969,0.4070092943122622,Compuesto
FULL_FEATURES,Proteina,PROTEINA (%),GP_Linear,11,33,2.613639811219309,1.9047195323992472,2.6939616302047686,1.911295903069544,-14.653311751870946,16.740396962196336,3.302441452130687,2.1288228677032377,0.7575757575757575,0.4240259187808922,Lineal
FULL_FEATURES,Proteina,PROTEINA (%),GP_Matern32_NoARD,11,33,2.3095557455083284,1.5961069635582192,2.524513930161115,1.5206132165732844,-18.08400530546889,28.42569804750317,2.6154045166547037,1.0226673881064354,0.7575757575757575,0.3363499860730086,Matern 3/2
FULL_FEATURES,Proteina,PROTEINA (%),GP_Matern52_NoARD,11,33,2.318194032927743,1.5968330479279296,2.5362848793319297,1.5192097423943471,-18.178891686088388,28.78674237091828,2.6275965208550485,1.0409300100530623,0.7878787878787878,0.3081387592457251,Matern 5/2
FULL_FEATURES,Proteina,PROTEINA (%),GP_RBF_NoARD,11,33,2.4009729009158747,1.5571302001621732,2.609130405143444,1.4818847131247603,-19.13590888880666,28.24978688471338,2.966304963375588,1.6002337434576697,0.7272727272727273,0.4168181542799854,RBF
