target,diet_name,abs_error,normalized_error
FCR,Control,0.10029853114506886,0.07832735122463991
FCR,Hoja15,0.27739089563603153,0.21662624428243274
FCR,Hoja30,0.15107939143439594,0.11798426577724197
FCR,Hoja50,0.4606831385400725,0.3597668837593118
FCR,Orujo30,0.3189278789451407,0.24906422560998437
FCR,Orujo50,0.3609231670721238,0.28186011649042503
FCR,Orujo70,0.06659128885406419,0.05200394473404184
FCR,Orujo90,0.308462929720934,0.24089170559324669
FCR,Quinoa15,0.08185258498907615,0.06392213425150708
FCR,Quinoa30,0.29684151298993533,0.23181605134762026
FCR,Quinoa50,0.2690989227154457,0.2101506930666674
Proteina,Control,0.35563449772441186,0.03391936349053948
Proteina,Hoja15,3.7116419196707597,0.35400539662379976
Proteina,Hoja30,3.2945523788818996,0.3142246334170688
Proteina,Hoja50,2.5654357620329242,0.24468365324742994
Proteina,Orujo30,1.3136946451344034,0.12529629850031948
Proteina,Orujo50,3.736119045602782,0.3563399522898121
Proteina,Orujo70,1.6944105582488678,0.16160785299290192
Proteina,Orujo90,1.8340459974876555,0.1749258669932531
Proteina,Quinoa15,1.0152929674649573,0.09683563161951492
Proteina,Quinoa30,0.6118102257570032,0.058352644547892275
Proteina,Quinoa50,1.365228954848013,0.13021148809692756
Quitina,Control,4.063513993727738,0.2991885879055606
Quitina,Hoja15,1.5471116837066983,0.11391080741813114
Quitina,Hoja30,0.9311435800048216,0.0685582806578214
Quitina,Hoja50,1.4716694685353005,0.10835614466553861
Quitina,Orujo30,0.7030746277815721,0.051766009764673174
Quitina,Orujo50,1.311962746021652,0.09659725104252205
Quitina,Orujo70,5.228181106812851,0.3849407495769221
Quitina,Orujo90,4.101304366700535,0.30197101915683905
Quitina,Quinoa15,0.5589672867751801,0.04115566809264292
Quitina,Quinoa30,0.865423924030579,0.0637194709234577
Quitina,Quinoa50,0.549255890688328,0.04044063699239281
