target,objective,feature_mode,model,incumbent_diet,incumbent_value,candidate_name,byproduct_type,inclusion_pct,is_observed_pct,mu,sigma,ei,predicted_improvement
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja15,hoja,15.0,True,1.7399065343357463,0.0698747487944512,3.0947683738003526e-05,-0.19669065914698147
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja16,hoja,16.0,False,1.7484032795970628,0.06837251381038363,1.538244584896339e-05,-0.20518740440829797
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja17,hoja,17.0,False,1.756916956869637,0.06708371618465331,7.4806361186479395e-06,-0.2137010816808722
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja18,hoja,18.0,False,1.7653418128100933,0.06596601742333125,3.5781872963879923e-06,-0.22212593762132848
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja19,hoja,19.0,False,1.7737199775562504,0.06505358396816532,1.7073243935550264e-06,-0.23050410236748564
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja20,hoja,20.0,False,1.7820822216806542,0.06437243103417889,8.260844524439803e-07,-0.23886634649188943
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja21,hoja,21.0,False,1.7904399739493997,0.06393617398066102,4.1220740728386734e-07,-0.2472240987606349
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja22,hoja,22.0,False,1.7987965797024281,0.0637516109075281,2.156393708717269e-07,-0.2555807045136633
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja23,hoja,23.0,False,1.807152868360578,0.06382134794265297,1.2004691442467547e-07,-0.2639369931718132
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja24,hoja,24.0,False,1.8155088770001921,0.06414455353141357,7.200104784366938e-08,-0.27229300181142735
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja25,hoja,25.0,False,1.823863939562673,0.06471700334006773,4.693458907316727e-08,-0.2806480643739082
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja26,hoja,26.0,False,1.832215311203009,0.06553040243082983,3.339959139861971e-08,-0.28899943601424427
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja27,hoja,27.0,False,1.840553603954888,0.06656979243420799,2.5929967015262906e-08,-0.2973377287661232
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja28,hoja,28.0,False,1.8488535401012878,0.0678079375507462,2.181330109900377e-08,-0.305637664912523
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja29,hoja,29.0,False,1.8570805099865633,0.0692096567248451,1.9663830085218425e-08,-0.31386463479779847
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja30,hoja,30.0,True,1.865321389428039,0.07081760432796401,1.9115277274045647e-08,-0.32210551423927414
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja31,hoja,31.0,False,1.872263468851393,0.07209619822278743,1.8206222281084504e-08,-0.32904759366262826
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja32,hoja,32.0,False,1.8792427865086594,0.07350628253595637,1.812061603755354e-08,-0.3360269113198946
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja33,hoja,33.0,False,1.8861758118341232,0.07498794373749118,1.8538389085054534e-08,-0.3429599366453584
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja34,hoja,34.0,False,1.8930693756667538,0.07654026725958296,1.944854767603092e-08,-0.349853500477989
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja35,hoja,35.0,False,1.8999428786613601,0.0781702476561721,2.0908306215733405e-08,-0.35672700347259534
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja36,hoja,36.0,False,1.9068080767333664,0.07987995108991007,2.2990344587347627e-08,-0.3635922015446016
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja37,hoja,37.0,False,1.9136702066850146,0.08166740160441713,2.57857693747445e-08,-0.37045433149624984
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja38,hoja,38.0,False,1.9205312842015132,0.08352876881260554,2.9412256051191258e-08,-0.3773154090127484
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja39,hoja,39.0,False,1.92739202321591,0.08545962850709486,3.401983372547436e-08,-0.3841761480271453
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja40,hoja,40.0,False,1.9342526730983531,0.08745550761112687,3.9795185018053795e-08,-0.39103679790958834
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja41,hoja,41.0,False,1.9411133537348126,0.08951208364254593,4.6965465749345395e-08,-0.39789747854604784
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Hoja42,hoja,42.0,False,1.9479742333886196,0.09162523113514895,5.5801709267134196e-08,-0.40475835819985484
