feature_mode,target,target_col,model,n_folds,n_samples,mae_macro_mean,mae_macro_std,rmse_macro_mean,rmse_macro_std,r2_macro_mean,r2_macro_std,nlpd_macro_mean,nlpd_macro_std,coverage_95_macro_mean,coverage_95_macro_std
REDUCED_FEATURES,FCR,FCR,Dummy,11,31,0.29077656801983903,0.14893284373110122,0.3169790551342296,0.1666981772594003,-86.66528246705269,267.44299373784327,,,,
REDUCED_FEATURES,FCR,FCR,GP_Linear,11,31,0.2702271385132415,0.11019756090655738,0.3096596572136525,0.13161607785095708,-107.11797166236248,337.6630296127186,0.7878063675712089,1.117945262721227,0.7727272727272727,0.35176323534072423
REDUCED_FEATURES,FCR,FCR,GP_RBF_NoARD,11,31,0.2499343694717939,0.13495822513951786,0.2818933227411699,0.15509310502184162,-77.31030442941105,248.5954603090972,2.9577872685283038,4.024853167603302,0.5454545454545454,0.39504506839170395
REDUCED_FEATURES,FCR,FCR,GP_Matern32_NoARD,11,31,0.2527735746750555,0.13833872455305507,0.2849728204118366,0.15730178468415662,-80.75136327602031,260.02774185834085,2.7261192718644964,3.89778946392857,0.5454545454545454,0.39504506839170395
REDUCED_FEATURES,FCR,FCR,GP_Matern52_NoARD,11,31,0.2544394196328422,0.1427945159315128,0.2859674954215482,0.16197780315162644,-78.85077187613912,253.6392993079747,1.8591297045668014,2.3060008585149014,0.5454545454545454,0.39504506839170395
REDUCED_FEATURES,FCR,FCR,GP_Compuesto_NoARD,11,31,0.24813264964760176,0.1305743686741465,0.28086256130261755,0.15048159933263505,-84.98699225154843,273.544771489433,3.8970268606645644,5.392549633788519,0.5757575757575757,0.3279874350882326
REDUCED_FEATURES,FCR,FCR,GP_RBF_ARD,11,31,0.26713981030839,0.11960052978528103,0.3030084808459527,0.14099750750132822,-75.44496018631793,240.84156227321031,5.678625889066868,11.264525382163262,0.5909090909090909,0.443243326475026
REDUCED_FEATURES,Quitina,QUITINA (%),Dummy,11,33,2.2927375204010363,1.942537363398528,2.499819604575578,1.9760855603477054,-15.237192341329331,26.70152365399144,,,,
REDUCED_FEATURES,Quitina,QUITINA (%),GP_Linear,11,33,2.084136639521548,1.8893722153181371,2.2589860339846943,1.97945168837417,-10.674300084320219,16.442222665721623,2.714418023225816,1.9150493916351494,0.8484848484848485,0.3452418271182089
REDUCED_FEATURES,Quitina,QUITINA (%),GP_RBF_NoARD,11,33,1.9646060653149997,1.594553388701058,2.065565235636878,1.5944179179857345,-17.485732089290163,35.05700780309761,3.5280058686765803,4.799790407427319,0.7272727272727273,0.4168181542799854
